

 One-dimensional plot values
 Input line #      35
  X (Microns)   Y (Microns)  X (Microns)        Concentration (cm^-3)         
      0.18475       0.04619       0.18475       -1.788305E+15
      0.18500       0.04625       0.18500       -2.654388E+15
      0.18519       0.04630       0.18519       -3.275100E+15
      0.18524       0.04631       0.18524       -3.383359E+15
      0.18526       0.04632       0.18526       -3.431882E+15
      0.18550       0.04638       0.18550       -4.085394E+15
      0.18571       0.04643       0.18571       -4.659191E+15
      0.18579       0.04645       0.18579       -4.785555E+15
      0.18600       0.04650       0.18600       -5.291141E+15
      0.18611       0.04653       0.18611       -5.458856E+15
      0.18650       0.04663       0.18650       -6.338541E+15
      0.18667       0.04667       0.18667       -6.543567E+15
      0.18700       0.04675       0.18700       -7.136715E+15
      0.18722       0.04681       0.18722       -7.375208E+15
      0.18750       0.04688       0.18750       -7.809483E+15
      0.18778       0.04694       0.18778       -8.049187E+15
      0.18800       0.04700       0.18800       -8.328534E+15
      0.18875       0.04719       0.18875       -8.836046E+15
      0.18905       0.04726       0.18905       -9.092365E+15
      0.19000       0.04750       0.19000       -9.513807E+15
      0.19100       0.04775       0.19100       -9.740390E+15
      0.19111       0.04778       0.19111       -9.747039E+15
      0.19200       0.04800       0.19200       -9.867726E+15
      0.19222       0.04806       0.19222       -9.875281E+15
      0.19300       0.04825       0.19300       -9.935774E+15
      0.19333       0.04833       0.19333       -9.941930E+15
      0.19400       0.04850       0.19400       -9.970323E+15
      0.19444       0.04861       0.19444       -9.974590E+15
      0.19500       0.04875       0.19500       -9.986970E+15
      0.19556       0.04889       0.19556       -9.989623E+15
      0.19600       0.04900       0.19600       -9.994577E+15
      0.19667       0.04917       0.19667       -9.996090E+15
      0.19700       0.04925       0.19700       -9.997866E+15
      0.19778       0.04944       0.19778       -9.998668E+15
      0.19800       0.04950       0.19800       -9.999210E+15
      0.19889       0.04972       0.19889       -9.999608E+15
      0.19900       0.04975       0.19900       -9.999725E+15
      0.20000       0.05000       0.20000       -9.999912E+15
