

 One-dimensional plot values
 Input line #      36
  X (Microns)   Y (Microns)  X (Microns)        Concentration (cm^-3)         
      0.19000       0.04750       0.19000        8.313833E+16
      0.19100       0.04775       0.19100        8.573834E+16
      0.19111       0.04778       0.19111        8.584704E+16
      0.19200       0.04800       0.19200        8.743890E+16
      0.19222       0.04806       0.19222        8.758304E+16
      0.19300       0.04825       0.19300        8.851191E+16
      0.19333       0.04833       0.19333        8.865074E+16
      0.19400       0.04850       0.19400        8.916472E+16
      0.19444       0.04861       0.19444        8.927985E+16
      0.19500       0.04875       0.19500        8.954748E+16
      0.19556       0.04889       0.19556        8.963415E+16
      0.19600       0.04900       0.19600        8.976363E+16
      0.19667       0.04917       0.19667        8.982427E+16
      0.19700       0.04925       0.19700        8.988111E+16
      0.19778       0.04944       0.19778        8.992103E+16
      0.19800       0.04950       0.19800        8.994250E+16
      0.19889       0.04972       0.19889        8.996742E+16
      0.19900       0.04975       0.19900        8.997329E+16
      0.20000       0.05000       0.20000        8.998814E+16
